timestamp,trade_direction,quantity,entry_time,exit_time,stop_loss,take_profit,risk_in_points,monetary_pnl,total_costs,net_pnl,holding_time,equity,drawdown
2022-01-03 12:05:00,buy,487.0,2022-01-03 12:05:00,2022-01-03 12:10:00,1139.65,1145.8,2.0499999999999545,-998.3499999999779,242.68035950270001,-1241.0303595026778,0 days 00:05:00,-1241.0303595026778,1241.0303595026778
2022-01-03 12:40:00,buy,540.0,2022-01-03 12:40:00,2022-01-03 14:35:00,1140.05,1145.6000000000004,1.8500000000001364,1998.0000000001473,264.88060150000007,1733.1193985001473,0 days 01:55:00,492.0890389974695,0.0
2022-01-03 14:40:00,buy,259.0,2022-01-03 14:40:00,2022-01-03 15:05:00,1141.75,1153.2999999999997,3.849999999999909,129.5,151.70640111379998,-22.206401113799984,0 days 00:25:00,469.88263788366953,22.206401113799984
2022-01-04 09:30:00,buy,145.0,2022-01-04 09:30:00,2022-01-04 14:45:00,1148.1,1168.6500000000003,6.850000000000136,1986.5000000000396,106.73228541200001,1879.7677145880396,0 days 05:15:00,2349.650352471709,0.0
2022-01-05 11:10:00,buy,769.0,2022-01-05 11:10:00,2022-01-05 12:20:00,1160.7,1164.6,1.2999999999999545,1999.39999999993,362.3935855484,1637.00641445153,0 days 01:10:00,3986.656766923239,0.0
2022-01-05 12:35:00,buy,800.0,2022-01-05 12:35:00,2022-01-05 12:50:00,1164.75,1168.5,1.25,2000.0,376.2035096,1623.7964904,0 days 00:15:00,5610.453257323239,0.0
2022-01-05 13:25:00,sell,307.0,2022-01-05 13:25:00,2022-01-05 13:30:00,1170.05,1160.3,3.25,-997.75,173.6074326957,-1171.3574326957,0 days 00:05:00,4439.095824627539,1171.3574326957005
2022-01-05 14:10:00,buy,689.0,2022-01-05 14:10:00,2022-01-05 14:15:00,1175.25,1179.6000000000001,1.4500000000000455,1998.1000000000627,333.22883477220006,1664.8711652278625,0 days 00:05:00,6103.966989855401,0.0
2022-01-05 14:25:00,sell,416.0,2022-01-05 14:25:00,2022-01-05 14:55:00,1180.55,1173.3500000000004,2.3999999999998636,1996.7999999998865,219.19277430400004,1777.6072256958864,0 days 00:30:00,7881.574215551287,0.0
2022-01-06 09:30:00,sell,181.0,2022-01-06 09:30:00,2022-01-06 10:30:00,1168.8,1152.3,5.5,1991.0,120.7660232856,1870.2339767144,0 days 01:00:00,9751.808192265687,0.0
2022-01-06 11:45:00,sell,303.0,2022-01-06 11:45:00,2022-01-06 12:00:00,1154.7,1144.8000000000002,3.2999999999999545,-999.8999999999862,170.32183222180004,-1170.2218322217864,0 days 00:15:00,8581.5863600439,1170.2218322217868
2022-01-06 13:10:00,sell,645.0,2022-01-06 13:10:00,2022-01-06 13:35:00,1154.2,1149.5500000000002,1.5499999999999545,-999.7499999999707,309.2520287395001,-1309.0020287394707,0 days 00:25:00,7272.58433130443,2479.2238609612577
2022-01-07 09:50:00,buy,740.0,2022-01-07 09:50:00,2022-01-07 10:25:00,1165.8,1169.8500000000004,1.3500000000001364,-999.000000000101,351.01293161800004,-1350.012931618101,0 days 00:35:00,5922.571399686329,3829.2367925793587
2022-01-07 10:35:00,buy,277.0,2022-01-07 10:35:00,2022-01-07 10:55:00,1164.4,1175.1999999999998,3.599999999999909,-997.1999999999748,160.8291922408,-1158.0291922407748,0 days 00:20:00,4764.542207445554,4987.265984820134
2022-01-07 11:10:00,sell,666.0,2022-01-07 11:10:00,2022-01-07 11:35:00,1165.6,1161.1,1.5,-999.0,320.4593778891999,-1319.4593778892,0 days 00:25:00,3445.0828295563538,6306.725362709334
2022-01-07 11:40:00,sell,526.0,2022-01-07 11:40:00,2022-01-07 11:55:00,1166.7,1160.9999999999998,1.900000000000091,1998.8000000000957,262.34966785679995,1736.4503321432958,0 days 00:15:00,5181.53316169965,4570.2750305660375
2022-01-07 12:50:00,sell,322.0,2022-01-07 12:50:00,2022-01-07 13:00:00,1157.9,1148.5999999999997,3.1000000000001364,-998.2000000000439,178.40939211240004,-1176.6093921124439,0 days 00:10:00,4004.923769587206,5746.884422678481
2022-01-07 14:10:00,sell,357.0,2022-01-07 14:10:00,2022-01-07 14:25:00,1159.3,1150.9,2.7999999999999545,1999.1999999999675,191.9965369228,1807.2034630771675,0 days 00:15:00,5812.127232664374,3939.6809596013136
2022-01-07 14:30:00,sell,281.0,2022-01-07 14:30:00,2022-01-07 14:45:00,1155.5,1144.8500000000001,3.5499999999999545,-997.5499999999872,161.45680379869998,-1159.006803798687,0 days 00:15:00,4653.120428865686,5098.687763400001
2022-01-10 12:10:00,buy,303.0,2022-01-10 12:10:00,2022-01-10 12:55:00,1151.5,1161.3999999999999,3.2999999999999545,1999.7999999999724,170.9705747956,1828.8294252043725,0 days 00:45:00,6481.949854070059,3269.8583381956287
2022-01-10 13:00:00,buy,425.0,2022-01-10 13:00:00,2022-01-10 13:05:00,1159.1,1166.1500000000003,2.3500000000001364,-998.750000000058,220.7126442525,-1219.462644252558,0 days 00:05:00,5262.487209817501,4489.320982448186
