segment,name,exchange,isin,instrument_type,instrument_key,lot_size,freeze_quantity,exchange_token,tick_size,trading_symbol,short_name,qty_multiplier,security_type,intraday_margin,intraday_leverage,Is present in nifty?,instrument_key
NSE_EQ,CONTROL PRINT LIMITED,NSE,INE663B01015,EQ,NSE_EQ|INE663B01015,1,100000,17477,5,CONTROLPR,Control Print,1,NORMAL,20,5,FALSE,NSE_EQ|INE663B01015
NSE_EQ,NUVAMA WEALTH MANAGE LTD,NSE,INE531F01015,EQ,NSE_EQ|INE531F01015,1,100000,18721,50,NUVAMA,,1,NORMAL,20,5,FALSE,NSE_EQ|INE531F01015
NSE_EQ,UNIVERSAL CABLES LTD,NSE,INE279A01012,EQ,NSE_EQ|INE279A01012,1,100000,3607,5,UNIVCABLES,Universal Cables,1,NORMAL,20,5,FALSE,NSE_EQ|INE279A01012
NSE_EQ,JK CEMENT LIMITED,NSE,INE823G01014,EQ,NSE_EQ|INE823G01014,1,100000,13270,50,JKCEMENT,JK Cement,1,NORMAL,20,5,FALSE,NSE_EQ|INE823G01014
NSE_EQ,JAY BHARAT MARUTI LTD,NSE,INE571B01036,EQ,NSE_EQ|INE571B01036,1,100000,1708,1,JAYBARMARU,,1,NORMAL,20,5,FALSE,NSE_EQ|INE571B01036
NSE_EQ,R K SWAMY LIMITED,NSE,INE0NQ801033,EQ,NSE_EQ|INE0NQ801033,1,100000,23043,1,RKSWAMY,,1,NORMAL,20,5,FALSE,NSE_EQ|INE0NQ801033
NSE_EQ,JAMNA AUTO IND LTD,NSE,INE039C01032,EQ,NSE_EQ|INE039C01032,1,100000,20778,1,JAMNAAUTO,Jamna Auto Industries,1,NORMAL,20,5,FALSE,NSE_EQ|INE039C01032
NSE_EQ,SKM EGG PROD EXPORT(I) LT,NSE,INE411D01015,EQ,NSE_EQ|INE411D01015,1,100000,4732,5,SKMEGGPROD,SKM Egg Products Export,1,NORMAL,20,5,FALSE,NSE_EQ|INE411D01015
NSE_EQ,ANDHRA SUGARS LTD,NSE,INE715B01021,EQ,NSE_EQ|INE715B01021,1,100000,136,1,ANDHRSUGAR,Andhra Sugars,1,NORMAL,20,5,FALSE,NSE_EQ|INE715B01021
NSE_EQ,SAMMAAN CAPITAL LIMITED,NSE,INE148I01020,EQ,NSE_EQ|INE148I01020,1,100000,30125,1,SAMMAANCAP,Indiabulls Housing Finance,1,NORMAL,50,2,FALSE,NSE_EQ|INE148I01020
NSE_EQ,CARYSIL LIMITED,NSE,INE482D01024,EQ,NSE_EQ|INE482D01024,1,100000,1879,10,CARYSIL,CARYSIL,1,NORMAL,20,5,FALSE,NSE_EQ|INE482D01024
NSE_EQ,VISHNU CHEMICALS LIMITED,NSE,INE270I01022,EQ,NSE_EQ|INE270I01022,1,100000,6908,5,VISHNU,Vishnu Chemicals,1,NORMAL,20,5,FALSE,NSE_EQ|INE270I01022
NSE_EQ,ETHOS LIMITED,NSE,INE04TZ01018,EQ,NSE_EQ|INE04TZ01018,1,100000,9750,10,ETHOSLTD,Ethos,1,NORMAL,20,5,FALSE,NSE_EQ|INE04TZ01018
NSE_EQ,RSWM LIMITED,NSE,INE611A01016,EQ,NSE_EQ|INE611A01016,1,100000,2794,1,RSWM,RSWM,1,NORMAL,20,5,FALSE,NSE_EQ|INE611A01016
NSE_EQ,VISHNU PRAKASH R PUNGLI L,NSE,INE0AE001013,EQ,NSE_EQ|INE0AE001013,1,100000,18341,1,VPRPL,VPRPL,1,NORMAL,20,5,FALSE,NSE_EQ|INE0AE001013
NSE_EQ,NITCO LIMITED,NSE,INE858F01012,EQ,NSE_EQ|INE858F01012,1,100000,13300,1,NITCO,Nitco,1,NORMAL,20,5,FALSE,NSE_EQ|INE858F01012
NSE_EQ,SANDHAR TECHNOLOGIES LTD,NSE,INE278H01035,EQ,NSE_EQ|INE278H01035,1,100000,2397,5,SANDHAR,Sandhar Technologies,1,NORMAL,20,5,FALSE,NSE_EQ|INE278H01035
NSE_EQ,EXPLEO SOLUTIONS LIMITED,NSE,INE201K01015,EQ,NSE_EQ|INE201K01015,1,100000,17486,10,EXPLEOSOL,Expleo Solutions,1,NORMAL,20,5,FALSE,NSE_EQ|INE201K01015
NSE_EQ,SIEMENS LTD,NSE,INE003A01024,EQ,NSE_EQ|INE003A01024,1,100000,3150,10,SIEMENS,Siemens,1,NORMAL,20,5,FALSE,NSE_EQ|INE003A01024
NSE_EQ,SIGNPOST INDIA LIMITED,NSE,INE0KGZ01021,EQ,NSE_EQ|INE0KGZ01021,1,100000,22656,1,SIGNPOST,,1,NORMAL,20,5,FALSE,NSE_EQ|INE0KGZ01021
NSE_EQ,GKW LIMITED,NSE,INE528A01020,EQ,NSE_EQ|INE528A01020,1,100000,17357,10,GKWLIMITED,GKW,1,NORMAL,20,5,FALSE,NSE_EQ|INE528A01020
NSE_EQ,FUSION FINANCE LIMITED,NSE,INE139R01012,EQ,NSE_EQ|INE139R01012,1,100000,11932,1,FUSION,Fusion Micro Finance,1,NORMAL,20,5,FALSE,NSE_EQ|INE139R01012
NSE_EQ,PRAKASH INDUSTRIES LTD,NSE,INE603A01013,EQ,NSE_EQ|INE603A01013,1,100000,2708,1,PRAKASH,Prakash Industries,1,NORMAL,20,5,FALSE,NSE_EQ|INE603A01013
NSE_EQ,RATEGAIN TRAVEL TECHN LTD,NSE,INE0CLI01024,EQ,NSE_EQ|INE0CLI01024,1,100000,7177,5,RATEGAIN,Rategain Travel Tech,1,NORMAL,20,5,FALSE,NSE_EQ|INE0CLI01024
NSE_EQ,INSECTICIDES (I) LTD,NSE,INE070I01018,EQ,NSE_EQ|INE070I01018,1,100000,14657,5,INSECTICID,Insecticides (India),1,NORMAL,20,5,FALSE,NSE_EQ|INE070I01018
NSE_EQ,R M DRIP & SPRINK SYS LTD,NSE,INE219Y01026,EQ,NSE_EQ|INE219Y01026,1,100000,757834,1,RMDRIP,,1,NORMAL,20,5,FALSE,NSE_EQ|INE219Y01026
NSE_EQ,SHEELA FOAM LIMITED,NSE,INE916U01025,EQ,NSE_EQ|INE916U01025,1,100000,19184,5,SFL,Sheela Foam,1,NORMAL,20,5,FALSE,NSE_EQ|INE916U01025
NSE_EQ,CCL PRODUCTS (I) LTD,NSE,INE421D01022,EQ,NSE_EQ|INE421D01022,1,100000,11452,10,CCL,CCL Products,1,NORMAL,20,5,FALSE,NSE_EQ|INE421D01022
NSE_EQ,AARTI PHARMALABS LIMITED,NSE,INE0LRU01027,EQ,NSE_EQ|INE0LRU01027,1,100000,13868,5,AARTIPHARM,Aarti Pharmalabs,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE0LRU01027
NSE_EQ,THEMIS MEDICARE LTD.,NSE,INE083B01024,EQ,NSE_EQ|INE083B01024,1,100000,14485,1,THEMISMED,,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE083B01024
NSE_EQ,NELCO LTD,NSE,INE045B01015,EQ,NSE_EQ|INE045B01015,1,100000,2388,5,NELCO,Nelco,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE045B01015
NSE_EQ,GARWARE HI-TECH FILMS LTD,NSE,INE291A01017,EQ,NSE_EQ|INE291A01017,1,100000,7982,10,GRWRHITECH,Garware Hi-Tech Films,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE291A01017
